,sentence,score,rating,percentile
72,"Mr President, I think that is acceptable.",6.03348462367055e-06,1,8.192429602224168
73,The European social model is unique.,6.04139178662049e-06,0,8.202382111446466
74,Fru talman!,3.5741191923433e-06,1,4.911563301204038
75,I voted in favor of this resolution.,6.549040744476121e-06,1,9.408799316305888
76,Fru talman!,3.5741191923433e-06,1,4.911563301204038
77,"Mr President, dear colleagues.",5.107782457629253e-06,1,6.344724629214942
78,"Madam President, ladies and gentlemen!",5.965564909297974e-06,1,8.046820065124027
79,I voted in favour of the Garriga-Polledo report.,6.548057999179179e-06,1,9.407501162929066
80,"Madam President, on a point of order.",6.148936860978186e-06,1,8.377200099525092
81,"Madam President, the Amazon is burning.",5.751338249467462e-06,0,7.518255281861553
82,I voted in favor of the text.,6.192899695526851e-06,1,8.473479808306019
83,— I voted in favour of this resolution.,6.5365024703136545e-06,1,9.365527537078504
84,"Madam President, dear Commissioner Hahn!",5.577288426123663e-06,1,7.272038858057746
85,"Madam President, Commissioner, colleague Tomašić!",5.18311180199651e-06,1,6.608466123605837
86,I voted in favor of this report.,6.604316464517079e-06,1,9.69028224018001
87,I strongly support employee participation in the ownership structure.,6.68314268399701e-06,0,9.897121344886898
88,I am in favor of the text.,6.120945737070028e-06,1,8.338471857116584
89,I voted in favour of this report.,6.57616703562522e-06,1,9.498804617098845
90,I voted in favor of my colleague's proposal.,6.643816983465842e-06,1,9.803221583963479
91,"Mr President, dear Commissioner Ansip!",5.255686534645698e-06,1,6.9492313850214735
92,"Mr President, congratulations on your appointment.",6.055507687472613e-06,1,8.23505230476314
93,Antimicrobial resistance in humans is increasing.,6.351120122601438e-06,0,8.844968032973096
94,Fru talman!,3.5741191923433e-06,1,4.911563301204038
95,"Madam President, dear colleagues!",5.216992373246432e-06,1,6.6547669273791366
96,"Dear Mr. President, dear Commissioner!",5.146034175340496e-06,1,6.525384307489262
97,I strongly support colleague Maria Noichl's report.,6.423658858510238e-06,1,9.003342744945316
98,Dear Mr. PRESIDENT!,4.018944770507189e-06,1,5.070154372072393
99,"Mr President, this is a point of order.",6.463770151803744e-06,1,9.150034076526142
